Filename,Scene Type,Time of Day,Mood,Suggested Tags,Notes,Script File,Index
bg013a.png,,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,383
bg013a.png,,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,401
bg013a.png,,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,443
bg013a.png,,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,468
bg013a.png,,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana082.ks,558
bg013a.png,,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana084.ks,10
bg013a.png,,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana084.ks,219
bg013a.png,,Morning or Early Day,"Busy, Urban, Energetic",{emote:neutral}{emote:alert}{emote:busy},"Modern urban downtown with clean sidewalks, trees, and active street lights. Ideal for daytime city interactions or events.",arcana084.ks,354
bg013b.png,City Plaza,Sunset,"Reflective, Tense","{emote:anxious}, {emote:serious}",Patrol scene transitions to evening; urban setting with mild tension,arcana034.ks,94
bg013b.png,City Plaza,Sunset,"Anxious, Searching","{emote:anxious}, {emote:thoughtful}","Mia searching alone, emotional uncertainty in a busy plaza",arcana126.ks,24
